month	low_income	medium_income	high_income
1	499.47206581933875	681.86722832261	800.4399914261221
2	482.51474989851783	637.1406685132496	746.3482969060452
3	506.60602451682473	665.553006084889	787.7060513688955
4	499.6391352609437	664.4862623486522	776.9648079096045
5	519.3307941544466	707.6464795312986	848.1936315049231
6	486.24177093142555	649.5892540532501	780.1902515545495
7	502.3869948395776	670.1837401281467	785.3954946297332
8	506.77207608890416	686.5769429357929	817.6087817258873
9	468.43138632079416	616.9249191203901	737.327870894676
10	504.3934734295185	673.6458817404265	806.8015847457631
11	539.284299743233	741.0370958308375	898.8190085227242
12	551.8100485014861	766.6454503022444	957.7152821997101
